NAME,EASTING,NORTHING,CATEGORY,DESCRIPTION
Hong Kong Stadium,836625,814900,Sports,Main multi-purpose stadium in So Kon Po
Victoria Park,835780,816340,Park,Large public park in Causeway Bay
Mong Kok Stadium,833400,820600,Sports,Football stadium in Mong Kok
Happy Valley Racecourse,835100,815800,Recreation,Historic horse racing venue
Quarry Bay Park,838500,817200,Park,Waterfront park in Quarry Bay
Kowloon Park,832900,820100,Park,Urban park with swimming pool
Hong Kong Coliseum,833760,819850,Sports,Indoor arena in Hunghom
Science Museum,834100,819700,Education,Interactive science exhibitions
Cultural Centre,833500,819400,Heritage,Arts venue on waterfront
Space Museum,833620,819550,Education,Astronomy and space science
Ocean Park,833700,812000,Recreation,Marine theme park on south island
Aberdeen Typhoon Shelter,832400,812500,Recreation,Historic fishing harbour
Sham Shui Po Park,831800,819600,Park,Community park with sports facilities
Lai Chi Kok Park,830900,819800,Park,Large park with heritage area
Hok Yuen Park,834800,820500,Park,Residential district park
Queen Elizabeth Stadium,835600,817800,Sports,Indoor multi-purpose stadium
Wan Chai Sports Ground,836100,816900,Sports,Athletics and football venue
Morse Park,836900,821000,Park,Large park in Wong Tai Sin
Diamond Hill Gardens,837200,822000,Park,Tranquil park near Chi Lin Nunnery
Tsim Sha Tsui Promenade,833800,819200,Heritage,Iconic waterfront promenade
